Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
Random Forest,0.7992633517495396,0.9166666666666666,0.2953020134228188,0.4467005076142132,0.7594113037849622,0.9219234063995969,0.01026662737725553
XGBoost,0.7909760589318601,0.7414965986394558,0.36577181208053694,0.4898876404494382,0.7580911661499676,0.9101889644746788,0.010937647926914864
THRB GNN,0.7918968692449355,0.9090909090909091,0.2684563758389262,0.4145077720207254,0.7569520151262222,0.0,0.0
Gradient Boosting,0.7826887661141805,0.7152777777777778,0.34563758389261745,0.4660633484162896,0.7496337682690015,0.9050138573948099,0.011567502665339097
SVM,0.7716390423572744,0.6388888888888888,0.3859060402684564,0.48117154811715473,0.7373181616870507,0.8578416988416988,0.014970667019505227
Logistic Regression,0.6850828729281768,0.43820224719101125,0.5234899328859061,0.47706422018348627,0.6830690219057678,0.8504076593600403,0.008173349881119929
